,a,a,a,a,a,a,a,a,a,a,a,a,a,a
ltlw,,ltw,ltw,ltw,ltw,ltw,doortl,doortr,ltw,ltw,ltw,ltw,ltrw,
llw,a,Wf11109,f1drainwf,f,f,f,f,f,f,f,f1drainwf,f,a,
llw,a,f,f2ped1fire,f2,f2,f2,f2,f2,f2,f2,f2ped1fire,f,lrw,
llw,a,f,f2,fcovdP1,f,fcofdb1,f,fcofdb1,f,fcoldP1,f2,f,lrw,
doorul,a,f,f2,dftl,dfu,dfu,dfu,dfu,dfu,dftr,f2,f,doorur,f
doorll,a,f,f2,dfl,f,fenemy5,fenemy5,fenemy5,f,dfr,f,f,doorlr,f
llw,a,f,f2,dfbl,dfd,dfd,dfd,dfd,dfd,dfbr,f2,f,lrw,
llw,a,f,f2,fcovib1,fcand,fcofdb1,f,fcofdb1,fcand,fcovib1,f2,f,lrw,
llw,a,f,f2ped1fire,f2,f2,f2,f2,f2,f2,f2,f2ped1fire,f,lrw,
llw,a,f,f,f,f,f,f,f,f,f,f,f,lrw,
,a,a,a,a,a,a,a,a,a,a,a,a,a,
lblw,,lbw,lbw,lbw,lbw,doorbl,doorbr,lbw,lbw,lbw,lbw,lbw,lbrw,
