a,a,a,a,a,a,f,f,a,a,a,a,a
ltlw,a,ltw,ltw,toru,dtl,doortl,doortr,dtr,toru,ltw,ltw,ltrw
llw,a,pu1,pu1,pu1,str,f,f,stl,wf133,f3,f3,lrw
llw,a,pl,prub2,pr,str,f,f,stl,f3,fcsftP1,f3,lrw
torl,a,pdl,pd,pdr,str,f,f,stl,f3,fenemy,f3,torr
dlu,a,std,std,std,stdr,f,fcand,stdl,std,std,std,dru
doorul,f,f,f,f,f,a,a,f,f,f,f,doorur
doorll,f,f,f,f,fcand,mostrid,a,f,f,f,f,doorlr
dll,a,stu,stu,stu,strt,f,f,stlt,stu,stu,stu,drl
torl,a,wf133,f3,f3,str,f,f,stl,wf133,f3,f3,torr
llw,a,f3,fcsftP1,f3,str,f,f,stl,f3,fcsftP1,f3,lrw
llw,a,f3,fenemy,f3,str,f,f,stl,f3,fenemy,f3,lrw
,a,a,a,a,a,a,a,a,a,a,a,lrw
lblw,,lbw,lbw,tord,dbl,doorbl,doorbr,dbr,tord,lbw,lbw,lbrw
