,,,,,f,f,,,,
ltlw,a,toru,ltw,dtl,doortl,doortr,dtr,toru,ltw,ltrw
llw,a,fenemy,fcoldo1,stubl,stu,stu,stubr,fbrcol1,fenemy,lrw
llw,a,f,fob7,fwrl,Wf30208,f3,fwrr,f,f,lrw
dlu,a,f,fob4,fwrl,f3enemy5,f3enemy5,fwrr,f,f,dru
doorul,a,f,fbrcol1,fwrl,f3,f3,fwrr,fcoldo1,f,doorur
doorll,a,f,f,fwrl,f3,f3,fwrr,fob7,f,doorlr
dll,a,f,f,fwrl,f3,f3,fwrr,fob4,f,drl
llw,a,f,fcoldo1,fwrl,f3,f3,fwrr,fbrcol1,f,lrw
llw,a,f,fob7,fwrl,f3,f3,fwrr,f,f,lrw
llw,a,f,fob4,fwrl,f3,f3,fwrr,f,f,lrw
llw,a,f,fbrcol1,stutl,std,std,stutr,fcoldo1,f,lrw
,a,a,a,a,f,f,a,a,a,lrw
lblw,,tord,lbw,dbl,doorbl,doorbr,dbr,tord,lbw,lbrw
