,,,,,,,,tlw,doortl,doortr,tw,trw,,,,,,,,
,,,,,,,,lw12,f,f,f,rw,,,,,,,,
,,,,,,,,lw,fcol11,f,fcol11,rw,,,,,,,,
,,,,,,,,lw,fcolf,f,fcolf,rw,,,,,,,,
,,,,,,,,torl,f,f,f,torr,,,,,,,,
,,,,,,,,lw,f,f,f,rw,,,,,,,,
,,,,,,,,lw,fcol11,f,fcol11,rw,,,,,,,,
,,,,,,,,lw,fcolf,f,fcolf,rw,,,,,,,,
,,,,,,tlft,bf,bf,trft,f,tlft,bf,bf,trft,,,,,,
,,,,,,rf,tlf22,tf,brft,f,blft,tf,trf,lf,,,,,,
,,,,,,rf,lf,fcol10fire,dftl,dfu,dftr,fcol10fire,rf,lf,,,,,,
tlw,tw,tw,toru,tw,tw,rf,lf,fcol4,dfl,f,dfr,fcol4,rf,lf,tw,tw,toru,tw,tw,trw
dlu,dfu,dfu,dfu,dfu,dfu,rf,lf,fcolf,dfl,f,dfr,fcolf,rf,lf,dfu,dfu,dfu,dfu,dfu,dru
doorul,f,f,f,f,f,blft,brft,f,dfl,fboss1,dfr,f,blft,brft,f,f,f,f,f,doorur
doorll,f,f,f,f,f,tlft,trft,f,dfl,f,dfr,f,tlft,trft,f,f,f,f,f,doorlr
dll,dfd,dfd,dfd,dfd,dfd,rf,lf,fcol10fire,dfl,f,dfr,fcol10fire,rf,lf,dfd,dfd,dfd,dfd,dfd,drl
blw,bw,bw,tord,bw,bw,rf,lf,fcol4,dfl,f,dfr,fcol4,rf,lf,bw,bw,tord,bw,bw,brw
,,,,,,rf,lf,fcolf,dfbl,dfd,dfbr,fcolf,rf,lf,,,,,,
,,,,,,rf,blf,bf,trft,f,tlft,bf,brf,lf,,,,,,
,,,,,,blft,tf,tf12,brft,f,blft,tf,tf,brft,,,,,,
,,,,,,,,lw,fcol11,f,fcol11,rw,,,,,,,,
,,,,,,,,lw,fcolf,f,fcolf,rw,,,,,,,,
,,,,,,,,lw,f,f,f,rw,,,,,,,,
,,,,,,,,torl,f,f,f,torr,,,,,,,,
,,,,,,,,lw,fcol11,f,fcol11,rw,,,,,,,,
,,,,,,,,lw,fcolf,f,fcolf,rw,,,,,,,,
,,,,,,,,lw,f,f,f,rw,,,,,,,,
,,,,,,,,blw,dbl,doorbl,doorbr,brw,,,,,,,,
